﻿"2#【功用】 解肌透疹。
　　"
"62#【功用】 清暑益气，养阴生津。
　　"
"63#【功用】 清暑利湿。
　　"
"64#【功用】 祛暑解表，化湿和中。
　　"
"65#【功用】　清暑解热，化气利湿。
　　"
66#
"67#【功用】温中祛寒，补气健脾。
　　"
"68#【功用】 温中补虚，降逆止呕。
　　"
"69#【功用】温经散寒，养血通脉。
　　"
"70#【功用】回阳固脱，益气生脉。
　　"
"71#【功用】　温中补虚，和里缓急。
　　"
"72#【功用】温阳补血，散寒通滞。
　　"
"73#【功用】回阳救逆。
　　"
74#
"75#【功用】　益气健脾。
　　"
"76#【功用】　益气补血，健脾养心。
　　"
"77#【功用】　补气生血。
　　"
"78#【功用】 补血调血。
　　"
"79#【功用】 益气固表止汗。
　　"
"80#【功用】 益气健脾，渗湿止泻。
　　"
"81#【功用】　补中益气，升阳举陷。
　　"
"82#【功用】　益气生津，敛阴止汗。
　　"
"83#【功用】 补脾疏肝，化湿止带。
　　"
"84#【功用】　益气补血。
　　"
"85#【功用】 益气滋阴，通阳复脉。
　　"
"86#【功用】　滋补肝肾。
　　"
"87#【功用】 滋阴补肾，填精益髓。
　　"
"88#【功用】 滋阴降火。
　　"
"89#【功用】 滋阴疏肝。
　　"
"90#【功用】　补肾助阳。
　　"
"91#【功用】　温补肾阳，填精益髓。
　　"
"92#【功用】　 滋肾阴，补肾阳，开窍化痰。
　　"
"93#【功用】　滋阴填精，益气壮阳。
　　"
94#
"95#【功用】 益气固表，敛阴止汗。
　　"
"96#【功用】 敛肺止咳，益气养阴。
　　"
"97#【功用】 滋阴清热，固经止血。
　　"
"98#【功用】 调补心肾，涩精止遗。
　　"
"99#【功用】 温肾暖脾，固肠止泻。
　　"
"100#【功用】 益气健脾，固冲摄血。
　　"
"101#【功用】 涩精补肾。
　　"
"102#【功用】 涩肠止泻，温中补虚。
　　"
"103#【功用】 固肾清热，祛湿止带。
　　"
104#
"105#【功用】 镇心安神，清热养血。
　　"
"106#【功用】 清热开窍，熄风镇痉。
　　"
"107#【功用】 芳香开窍，行气止痛。
　　"
108#
"109#【功用】 化浊开窍，清热解毒。
　　"
"110#【功用】 清热解毒，开窍醒神。
　　"
"111#【功用】 滋阴清热，养血安神。
　　"
"112#【功用】 养血安神，清热除烦。
　　"
113#
"114#【功用】 宣降肺气，清热化痰。
　　"
"115#【功用】 温补肝肾，行气止痛。
　　"
"116#【功用】 行气除满，温中燥湿。
　　"
"117#【功用】 行气疏肝，散寒止痛。
　　"
"118#【功用】化痰散饮，和胃降逆。
　　"
"119#【功用】 行气解郁。
　　"
"120#【功用】 行气散结，降逆化痰。
　　"
"121#【功用】 行气疏肝，活血止痛。
　　"
"122#【功用】 通阳散结，祛痰下气。
　　"
"123#【功用】 降气平喘，祛痰止咳。
　　"
"124#【功用】 降逆化痰，益气和胃。
　　"
"125#【功用】 降逆止呃，益气清热。
　　"
126#
"127#【功用】 补气，活血，通络
　　"
"128#【功用】 活血祛瘀，散结止痛。
　　"
"129#【功用】 行气活血，祛湿化痰，软坚消癥。
　　"
"130#【功用】　破血下瘀。
　　"
"131#【功用】活血化瘀，行气止痛。
　　"
"132#【功用】 活血化瘀，缓消癥块。
　　"
"133#【功用】 温经散寒，祛瘀养血。
　　"
"134#【功用】 活血祛瘀，疏肝通络。
　　"
"135#【功用】 养血袪瘀，温经止痛。
　　"
"136#【功用】 凉血止血。
　　"
"137#【功用】 清肝宁肺，凉血止血。
　　"
"138#【功用】 凉血止血，利水通淋。
　　"
"139#【功用】 清肠止血，疏风行气。
　　"
"140#【功用】 温阳健脾，养血止血。
　　"
141#
"142#【功用】 平肝熄风，清热活血，补益肝肾。
　　"
143#
"144#【功用】 祛风化痰，通络止痉。
　　"
"145#【功用】 祛风化痰止痉。
　　"
"146#【功用】 疏风除湿，清热养血。
　　"
"147#【功用】 疏风止痛。
　　"
"148#【功用】 镇肝熄风，滋阴潜阳。
　　"
149#
"150#【功用】 祛风除湿，化痰通络，活血止痛。
　　"
"151#【功用】 疏风清热，养血活血。
　　"
"152#【功用】 燥湿运脾，行气和胃。
　　"
"153#【功用】 清热利湿退黄。
　　"
"154#【功用】 解表化湿，理气和中。
　　"
"155#【功用】 利湿化浊，清热解毒。
　　"
"156#【功用】 宣畅气机，清利湿热。
　　"
"157#【功用】 清热泻火，利水通淋。
　　"
"158#【功用】 清热化湿，理气和中。
　　"
"159#【功用】 利湿清热，疏风止痛。
　　"
"160#【功用】 利水渗湿，温阳化气。
　　"
"161#【功用】 清热燥湿。
　　"
"162#【功用】 利水养阴清热。
　　"
"163#【功用】 益气祛风，健脾利水。
　　"
"164#【功用】 利水消肿，理气健脾。
　　"
"165#【功用】 温阳化饮，健脾利湿。
　　"
"166#【功用】 温阳利水。
　　"
"167#【功用】 温阳健脾，行气利水。
　　"
"168#【功用】 温肾利湿，分清化浊。
　　"
"169#【功用】 祛风胜湿止痛。
　　"
"170#【功用】 祛风湿，止痹痛，益肝肾，补气血。
　　"
171#
"172#【功用】 养阴清肺，解毒利咽。
　　"
"173#【功用】 养阴益胃。
　　"
"174#【功用】 增液润燥。
　　"
"175#【功用】 清燥润肺，养阴益气。
　　"
"176#【功用】 清宣温燥，润肺化痰。
　　"
"177#【功用】 轻宣凉燥，理肺化痰。
　　"
"178#【功用】 滋养肺肾，止咳化痰。
　　"
"179#【功用】 清养肺胃，降逆下气。
　　"
180#
"181#【功用】 燥湿化痰，理气和中。
　　"
"182#【功用】 理气化痰，和胃利胆。
　　"
"183#【功用】 清热化痰，理气止咳。
　　"
"184#【功用】 温肺化痰，降气消食。
　　"
"185#【功用】 清热化痰，宽胸散结。
　　"
"186#【功用】 泻火逐痰。
　　"
"187#【功用】 化痰熄风，健脾祛湿。
　　"
"188#【功用】 温肺化饮。
　　"
"189#【功用】 润肺清热，理气化痰。
　　"
"190#【功用】 燥湿行气，软坚化痰。
　　"
"191#【功用】 涤痰熄风，开窍安神。
　　"
192#
"193#【功用】 消导化积，清热利湿。
　　"
"194#【功用】 消食和胃。
　　"
195#
"196#【功用】分消酒湿，理气健脾。
　　"
"197#【功用】 消痞除满，健脾和胃。
　　"
"198#【功用】 健脾和胃，消食止泻。
　　"
199#
200#
201#
"202#【功用】 温脏安蛔。
　　"
203#
"204#【功用】 涌吐痰涎宿食。
　　"
﻿"2#【功效】和胃降逆，开结除痞。

	　　"
"3#【功效】健脾和胃，消食止泻。

	　　"
"4#【功效】补肾助阳。

	　　"
"5#【功效】疏风清热，宣肺止咳。

	　　"
"6#【功效】清泻肺热，止咳平喘。

	　　"
"7#【功效】通阳散结，行气祛痰。

	　　"
"8#【功效】温阳化饮，健脾利湿。

	　　"
"9#【功效】消食和胃，清热化湿。

	　　"
"10#【功效】疏风止痛。

	　　"
"11#【功效】养阴润肺，止咳化痰。

	　　"
12#
"13#【功效】清热生津。

	　　"
"14#【功效】解表清里。

	　　"
"15#【功效】行气散结，降逆化痰。

	　　"
"16#【功效】发汗祛湿，兼清里热。

	　　"
17#
"18#【功效】温中祛寒，益气健脾。

	　　"
"19#【功效】和解少阳，内泻热结。

	　　"
"20#【功效】泻火通便，清上泄下。

	　　"
"21#【功效】峻下热结。

	　　"
"22#【功效】温肺化饮。

	　　"
"23#【功效】补中益气，升阳举陷。

	　　"
"24#【功效】清心养阴，利水通淋。

	　　"
"25#【功效】芳香开窍，行气止痛。

	　　"
"26#【功效】温阳健脾，养血止血。

	　　"
27#
"28#【功效】滋阴息风。

	　　"
"29#【功效】解肌发表，调和营卫。

	　　"
"30#【功效】温经散寒，养血通脉。

	　　"
"31#【功效】燥湿化痰，理气和中。

	　　"
"32#【功效】祛风湿，止痹痛，益肝肾，补气血。

	　　"
33#
"34#【功效】泻火解毒。

	　　"
"35#【功效】清热开窍，化浊解毒。

	　　"
"36#【功效】清热解毒，疏风散邪。

	　　"
"37#【功效】补肾涩精。

	　　"
"38#【功效】滋阴养血，补心安神。

	　　"
"39#【功效】宣畅气机，清利湿热。

	　　"
"40#【功效】解表化湿，理气和中。

	　　"
"41#【功效】清胃热，滋肾阴。

	　　"
"42#【功效】清热开窍，息风止痉。

	　　"
"43#【功效】活血祛瘀，行气止痛。

	　　"
"44#【功效】降逆化痰，益气和胃。

	　　"
"45#【功效】回阳救逆。

	　　"
"46#【功效】透邪解郁，疏肝理脾。

	　　"
"47#【功效】发汗解表，宣肺平喘。

	　　"
"48#【功效】燥湿运脾，行气和胃。

	　　"
"49#【功效】润肠通便。

	　　"
"50#【功效】化痰息风，健脾祛湿。

	　　"
"51#【功效】泻热破瘀，散结消肿。

	　　"
"52#【功效】清营解毒，透热养阴。

	　　"
"53#【功效】泻肝胆实火，清下焦湿热。

	　　"
"54#【功效】清热燥湿，调气和血。

	　　"
"55#【功效】凉血止血。

	　　"
"56#【功效】益气固表止汗。

	　　"
"57#【功效】轻宣温燥，润肺止咳。

	　　"
"58#【功效】疏肝解郁，行气止痛。

	　　"
"59#【功效】益气补血。

	　　"
"60#【功效】益气健脾。

	　　"
61#
"62#【功效】养阴透热。

	　　"
"63#【功效】养血祛瘀，温经止痛。

	　　"
"64#【功效】益气祛风，健脾利水。

	　　"
"65#【功效】泻热通便，益气养血。

	　　"
"66#【功效】辛凉疏表，清肺平喘。

	　　"
"67#【功效】滋阴解表。

	　　"
"68#【功效】清暑益气，养阴生津。

	　　"
"69#【功效】解表散寒，温肺化饮。

	　　"
"70#【功效】益气补血，健脾养心。

	　　"
"71#【功效】益气健脾，固冲摄血。

	　　"
"72#【功效】清胃凉血。

	　　"
"73#【功效】补气，活血，通络。

	　　"
"74#【功效】清肺化痰，逐瘀排脓。

	　　"
"75#【功效】清热解毒，凉血止痢。

	　　"
"76#【功效】益气健脾，渗湿止泻。

	　　"
"77#【功效】润肺益胃，降逆下气。

	　　"
"78#【功效】清热开窍，豁痰解毒。

	　　"
"79#【功效】清热化痰，宽胸散结。

	　　"
"80#【功效】清热解毒，凉血散瘀。

	　　"
"81#【功效】凉血止血，利水通淋。

	　　"
"82#【功效】利水渗湿，温阳化气。

	　　"
"83#【功效】和解少阳。

	　　"
"84#【功效】攻逐水饮。

	　　"
"85#【功效】降气平喘，祛痰止咳。

	　　"
"86#【功效】温中补虚，降逆止呕。

	　　"
"87#【功效】透邪解郁，疏肝理脾。

	　　"
"88#【功效】温阳补血，散寒通滞。

	　　"
"89#【功效】疏风止痒，清热除湿。

	　　"
"90#【功效】清热泻火，利水通淋。

	　　"
"91#【功效】清热解毒，消肿溃坚，活血止痛。

	　　"
"92#【功效】平肝息风，清热活血，补益肝肾。

	　　"
"93#【功效】清暑利湿。

	　　"
"94#【功效】温里散寒，通便止痛。

	　　"
"95#【功效】补脾柔肝，祛湿止泻。

	　　"
"96#【功效】镇肝息风，滋阴潜阳。

	　　"
"97#【功效】辛凉透表，清热解毒。

	　　"
"98#【功效】轻宣温润，止咳化痰。

	　　"
"99#【功效】滋阴养血，益气复脉。

	　　"
"100#【功效】清热，利湿，退黄。

	　　"
"101#【功效】行气解郁。

	　　"
"102#【功效】镇心安神，清热养阴。

	　　"
"103#【功效】温阳利水。

	　　"
"104#【功效】止咳化痰，宣肺疏表。

	　　"
"105#【功效】发汗祛风，除湿止痛。

	　　"
