黄芩,None,防风,None
防风,4.5g,白芷,4.5g
天南星,None,防风,None
黄芩,None,防风,None
防风,3g,黄芩,9g,阿胶,15g
远志,None,干防风,15g
草乌,None,细辛,None,防风,None
鸡苏叶,30g,恶实,30g,玄参,30g,甘草,30g,防风,15g,人参,15g,天冬,15g
细辛,30g,草乌,30g,蝎梢,15g,荆芥穗,45g,防风,45g,升麻,15g,没食子,30g
苍耳子,30g,樟木子,30g,樟木皮,30g,防风,30g,薄荷,30g,黄柏,120g,苍术,90g
苦参,None,荆芥,None,防风,None,白矾,None,花椒,None,野菊,None,马鞭草,None
黄连,60g,连翘,60g,羌活,60g,菊花,60g,防风,45g,细辛,30g,甘草,30g
羌活,30g,防风,30g,川芎,30g,人参,30g,干葛,15g,升麻,15g,甘草,15g
当归,None,冰片,None,川芎,None,山栀子仁,None,川大黄,None,羌活,None,防风,None
当归,6g,龙胆草,3g,川芎,6g,山栀,4.5g,羌活,6g,防风,6g,黄芩,6g
草乌头,15g,香白芷,30g,川芎,60g,防风,30g,天麻,30g,甘草,30g,细辛,15g
全蝎,7.5g,香白芷,7.5g,细辛,7.5g,荆芥,7.5g,防风,7.5g,川芎,7.5g,花椒,7.5g
桂枝,8g,赤芍,9g,甘草,3g,防风,5g,川芎,5g,羌活,5g,白术,9g
大黄,None,山栀子,None,防风,None,薄荷,None,川芎,None,羌活,None,甘草,None
防风,3g,苏叶嫩枝,4.5g,生姜皮38,None,淡豆豉,9g,秦艽,4.5g,络石藤,9g,鲜葱白,4个,嫩桑枝,30g
防风,180g,人参,60g,川芎,15g,细辛,15g,前胡,15g,羌活,15g,白芷,15g,甘草,22g
藿香,250g,白芷,500g,前胡,500g,黄芪,1000g,甘草,1000g,人参,1000g,羌活,1500.0g,防风,1500.0g
巨胜子,360g,麻黄,360g,苦参,360g,荆芥,360g,防风,360g,独活,360g,大风子肉,240g,蒺藜,120g
细辛,None,荆芥,None,白芷,None,川芎,None,黄芩,None,防风,None,甘草,None,地骨皮,None
羌活,None,独活,None,防风,None,当归,None,牛膝,None,黄柏,None,肉桂,None,白芍药,None
人参,30g,石菖蒲,30g,生地黄,30g,川芎,30g,朱砂,15g,防风,15g,细辛,3g,甘草,15g
地龙,30g,五灵脂,30g,威灵仙,30g,防风,30g,马钱子,30g,草乌头,30g,白胶香,9g,乳香,9g
荆芥穗,90g,防风,45g,人参,45g,黄芩,45g,麻黄,45g,肉桂,45g,苍术,45g,甘草,45g
白蒺藜,15g,防风,15g,粉草,15g,木贼,15g,山栀,15g,草决明,30g,青葙子,7.5g,蝉蜕,7.5g
人参,30g,白术,120g,桂,90g,防己,90g,甘草,90g,乌头,7枚,防风,22.5g,赤茯苓,60g
人参,60g,当归,60g,芍药,15g,干桑叶,15g,防风,15g,独活,15g,葛根,15g,甘草,15g
薄荷,500g,苏叶,250g,黄柏,360g,苍术,500g,防风,500g,杏仁炭,250g,甘草,250g,青黛,130g
大黄,75g,防风,45g,黄芪,45g,黄连,45g,漏芦,30g,秦艽,60g,苦参,60g,乌梢蛇,60g
天麻,30g,防风,60g,细辛,15g,薄荷叶,15g,川芎,30g,甘草,30g,吴白芷,30g,朱砂,30g
玄参,15g,乌梅,3个,薄荷叶,500g,川芎,60g,防风,60g,桔梗,15g,砂仁,15g,甘草,120g
川羌活,12g,左秦艽,9g,海风藤,12g,宣木瓜,12g,五加皮,12g,川续断,12g,软防风,12g,北细辛,2g
川芎,30g,荆芥,12g,防风,12g,全蝎荜茇,12g,蜈蚣,2条,天麻,10g,细辛,6g
川芎,None,石膏,None,升麻,None,细辛,None,草乌,None,白芷,None,防风,None,羌活,None
川芎,None,羌活,None,蔓荆子,None,防风,None,白芷,None,细辛,None,藁本,None,石膏,None
薄荷叶,240g,川芎,120g,荆芥,120g,香附子,240g,防风,45g,白芷,60g,羌活,60g,甘草,60g
川羌活,15g,当归,15g,大黄,15g,麻仁,30g,桃仁,30g,皂荚子,15g,防风,15g,秦艽,15g
天麻,15g,防风,15g,枳壳,22.5g,茺蔚子,22.5g,白僵蚕,15g,白蒺藜,30g,凌霄花,15g,踯躅花,15g
细辛,30g,何首乌,30g,乌药,30g,川乌,15g,淮乌,15g,五月雄小乌豆,15g,防风,15g,粉草,15g
五味子,3g,杏仁,3g,桂心,3g,防风,6g,甘草,6g,赤芍药,6g,川芎,6g,花椒,0.9g
牛膝,None,革薜,None,杜仲,None,苁蓉,None,防风,None,菟丝子,None,白蒺藜,None,桂枝,None
苍术,9g,防风,4.5g,黄连,1.5g,木香,1.5g,厚朴,3g,陈皮,3g,枳壳,3g,甘草,1.2g
升麻,15g,防风,15g,黄柏,15g,茯苓,15g,芍药,15g,陈皮,15g,连翘,2.1g,当归,2.1g
乌头,30g,地龙,30g,羌活,30g,虎骨,30g,延胡索,30g,当归,30g,没药,30g,防风,30g
人参,3g,生地,3g,川芎,3g,朱砂,3g,防风,3g,细辛,3g,石菖蒲,3g,甘草,3g
肉桂,3g,当归,9g,玄胡索,15g,白芷,15g,苍术,30g,赤芍药,15g,防风,30g,荆芥,120g
生地,None,黄甘菊,None,防风,None,枳壳,None,决明子,None,石决明,None,白芍,None,茯神,None
白芷,None,防风,None,连翘,None,石膏,None,荆芥,None,赤芍药,None,升麻,None,薄荷,None
生黄芪,310g,防风,250g,白术,250g,桂枝,310g,白芍,310g,生姜,150g,甘草,150g,大枣,310g
黄芪,0.3g,防风,0.3g,白茯苓,0.3g,白术,0.3g,麻黄根,1.5g,甘草,1.5g,牡蛎,1.5g,小麦,5粒
地骨皮,45g,茺蔚子,45g,防风,30g,黄芩,30g,玄参,30g,大黄,30g,细辛,30g,芒硝,60g
川芎,3g,白芷,3g,苏叶,3g,香附,3g,陈皮,24g,防风,24g,羌活,24g,甘草,1.5g
荆芥,15g,防风,9g,半夏,9g,陈皮,3g,天花粉,4.5g,茯苓,9g,黄芩,6g,苏叶,3g
威灵仙,None,附子,None,桔梗,None,防风,None,蔓荆子,None,枳壳,None,川芎,None,当归,None
淡竹叶,24片,防风,3g,人参,3g,桂枝,3g,桔梗,3g,前胡,3g,陈皮,3g,茯苓,3g
大南星,25个,大半夏,50个,皂荚,120g,白矾,120g,盐,120g,桔梗,60g,防风,120g,芒硝,120g
防己,30g,竹沥,None,防风,30g,升麻,30g,桂,30g,麻黄,45g,川芎,30g,羚羊角,30g
防己,60g,防风,30g,川芎,30g,附子,30g,甘草,30g,当归,30g,陈皮,30g,赤小豆,54g
防风,45g,决明子,45g,人参,45g,车前子,45g,黄连,30g,菊花,30g,槐实,30g,蓝实,30g
防风,12g,桂心,12g,知母,12g,白术,15g,生姜,15g,芍药,9g,甘草,9g,附子,6g
防风,15g,甘草,15g,黄芩,15g,白茯苓,15g,当归,15g,杏仁,50枚,秦艽,7.5g,麻黄,30g
细辛,0.9g,蔓荆子,0.9g,葛根,1.5g,防风,1.5g,当归身,2.5g,炙甘草,3g,黄连,3g,人参,3g
防风,None,羌活,None,白附子,None,甘草,None,川芎,None,白茯苓,None,全蝎,None,人参,None
黄芪,None,附子,None,甘草,None,苍术,None,陈皮,None,羌活,None,防风,None,桔梗,None
防风,2.4g,甘葛,2.4g,茯苓,2.4g,麦冬,2.4g,芍药,1.8g,黄芩,1.8g,犀角,1.2g,甘草,0.9g
白术,15g,茯苓,15g,防风,15g,巴戟天,9g,肉桂,3g,桂枝,2.4g,天花粉,6g,黄芪,6g
防风,15g,天麻,15g,半夏,15g,天南星,30g,干姜,30g,川乌,30g,川芎,60g,甘草,60g
当归,30g,川芎,30g,芍药,30g,熟地,30g,防风,30g,白术,60g,羌活,15g,苍术,2500.0g
芦荟,15g,防风,15g,白附子,30g,白术,30g,天麻,30g,白芷,30g,朱砂,3.7g,冰片,3.7g
苏叶,9g,防风,4.5g,光杏仁,9g,羌活,4.5g,白芷,4.5g,广陈皮,3g,生姜,3g,浙苓皮,9g
赤芍,30g,地龙,30g,当归,30g,防风,30g,五加皮,30g,麝香,7.5g,乳香,7.5g,没药,7.5g
赤土,75g,防风,60g,赤芍药,60g,地骨皮,60g,何首乌,60g,当归,60g,山栀子仁,60g,甘草,30g
菊花,None,羌活,None,防风,None,蝉蜕,None,蒺藜,None,川芎,None,当归,None,甘草,None
天南星,60g,半夏,60g,藁本,30g,细辛,30g,川芎,30g,防风,30g,羌活,30g,独活,30g
香白芷,0.6g,蔓荆子,0.9g,炙甘草,1.5g,当归身,1.5g,柴胡,1.5g,升麻,2.1g,防风,2.1g,黄芪,3g
川乌,None,草乌,None,苍术,None,细辛,None,白芷,None,薄荷,None,防风,None,甘草,None
山豆根,3g,麦冬,3g,牛蒡子,2.1g,玄参,2.1g,桔梗,2.1g,甘草,0.6g,防风,1.5g,绿豆,49粒
蛇床子,30g,菟丝子,30g,远志,30g,防风,30g,巴戟天,30g,五味子,30g,杜仲,30g,肉苁蓉,30g
苍术,None,酒黄柏,None,酒芍药,None,陈皮,None,防风,None,威灵仙,None,山楂,None,当归,None
羌活,15g,防风,15g,桔梗,15g,白附子,15g,枳壳,15g,白蒺藜,15g,蔓荆实,9g,皂荚,250g
羌活,8g,苍术,8g,川芎,5g,白茯苓,5g,防风,5g,枳壳,5g,桔梗,5g,甘草,2g
芍药,30g,细辛,30g,桔梗,30g,车前子,30g,人参,30g,茯苓,30g,羌活,60g,防风,60g
附子,15g,防风,15g,枳壳,15g,羌活,15g,白芷,15g,甘草,15g,蜂房,15g,花椒,60g
石决明,30g,细辛,30g,知母,30g,生地黄,30g,防风,30g,兔肝一具,75g,五味子,75g,人参,75g
石决明,30g,车前子,30g,人参,30g,甘菊花,30g,槐子,30g,熟地黄,30g,茺蔚子,60g,防风,60g
酒黄芩,6g,白芷,4.5g,羌活,3g,防风,3g,柴胡梢,3g,川芎,3.6g,荆芥,2.4g,甘草,1.5g
苦参,500g,防风,250g,荆芥,250g,苍耳子,250g,胡麻,250g,川乌,45g,白芷,45g,黑蛇,1条
车前子,6g,知母,6g,茺蔚子,6g,人参,6g,防风,6g,黑参,6g,黄芩,4.5g,茯苓,6g
木贼,30g,防风,18g,柴胡,18g,青葙子,24g,蝉蜕,30g,黄芩,18g,菊花,24g,车前子,24g
败龟版,30g,没药,15g,肉桂,15g,自然铜,15g,骨碎补,15g,当归,15g,白芷,15g,防风,15g
知母,30g,茺蔚子,30g,防风,45g,细辛,45g,桔梗,45g,大黄,45g,茯苓,45g,芒硝,45g
银花,62g,菊花,62g,黄连,9g,土茯苓,31g,玉米仁,15g,防风,15g,蝉蜕,9g,甘草,9g
白芷,4.5g,升麻,3g,枳壳,3g,黄芩,3g,防风,3g,半夏,3g,石斛,3g,甘草,1.5g
黄芪,45g,防风,30g,远志,30g,地骨皮,30g,人参,30g,茯苓,30g,大黄,30g,知母,60g
细辛,45g,人参,45g,茯苓,45g,车前子,45g,五味子,45g,黑参,45g,防风,45g,地骨皮,45g
黄芪,3.6g,白术,2.4g,牡蛎,2.4g,茯苓,2.4g,防风,2.4g,麦冬,2.4g,地黄,2.4g,大枣,8个
苍术,500g,川芎,250g,细辛,120g,防风,250g,白芷,250g,草乌,120g,川乌,150g,天麻,60g
人参,60g,当归,60g,防风,60g,黄芪,60g,芍药,60g,麦冬,60g,独活,90g,白术,90g,桂心,90g
羌活,4.5g,防风,4.5g,川芎,3g,细辛,1.5g,甘草,3g,苍术,3g,香白芷,3g,黄芩,3g,生地,3g
川芎,30g,半夏,30g,防风,30g,甘草,15g,全蝎,3个,附子,15g,川乌,15g,木香,15g,南星,15g
大麻仁,60g,防风,30g,枳壳,30g,旋覆花,30g,大黄,90g,木香,30g,槟榔,30g,川升麻,30g,杏仁,30g
川芎,30g,柴胡,30g,半夏,15g,甘草,15g,甘菊,15g,细辛,15g,人参,15g,前胡,15g,防风,15g
天麻,15g,荆芥穗,15g,生地黄,15g,独活,15g,当归,15g,桂,15g,白僵蚕,15g,防风,15g,延胡索,15g
天南星,15g,细辛,15g,附子,15g,防风,15g,天麻,30g,半夏,15g,禹白附,15g,旋覆花,15g,川芎,15g
防风,3g,白术,3g,茯苓,3g,川芎,3g,陈皮,4.5g,半夏,4.5g,白芷,1.5g,天麻,2g,甘草,1g
天麻,30g,防风,30g,羌活,30g,甘草,30g,人参,15g,桔梗,30g,白术,15g,川芎,15g,半夏,30g
明天麻,9g,防风,9g,钩藤,9g,僵蚕,6g,全蝎,6g,蜈蚣,1条,生石膏,60g,甘草,3g,犀角,3g
木乳30s,None,旋覆花,15g,枳壳,22g,石膏,60g,甘菊花,15g,川芎,15g,甘草,15g,荆芥,22g
木通,None,石菖蒲,None,防风,None,枳壳,None,全蝎,None,僵蚕,None,甘草,None,木香,None,南星,None
五加皮,60g,杜仲,120g,萆薢,60g,狗脊,60g,阿胶,60g,防风,60g,川芎,90g,细辛,30g,杏仁,60g
石膏,12g,升麻,4.5g,生地,15g,防风,6g,薄荷叶,6g,荆芥穗,6g,前胡,6g,天麻,6g,甘草,3g
白蒺藜,60g,当归,60g,熟地黄,60g,川芎,30g,白芍,30g,木贼,30g,防风,30g,羌活,30g,香附,60g
当归,60g,桂心,60g,人参,30g,川芎,30g,厚朴,30g,防风,30g,甘草,30g,白芷,30g,桔梗,30g
黄芪,30g,当归,15g,白术,9g,人参,3g,茯苓,1.5g,防风,1.5g,白芥子,2.4g,红花,0.9g,金银花,15g
