清热祛风止血
清热祛风，活血止痛。
益气养血，祛风解痉。
疏风活血，解毒消肿。
祛风消翳。
祛风豁痰，利咽通窍。
补肾健脾，祛风清热。
祛风化痰。
解毒透疹。
疏风散寒，理气止痛。
疏风解肌，养心安神。
疏肝健脾，扶正抑木。
祛风化痰，温通经络。
祛风湿，强腰膝。
祛除风湿，温经止痛。
祛风清肝，明目退翳。
养血祛风。
温阳散寒，祛风通络。
温阳散寒，祛风通络。
温阳祛风。
祛风散寒，活血通痹。
化痰开窍，祛风止痉。
疏风明目。
泻肝疏风。
祛风清热，利窍聪耳。
补气养血，开窍安神。
疏风泻火，消肿止痛。
活血行气，祛风利咽。
养肝祛风。
祛风化痰止痉。
祛风散寒，宣肺止咳。
清热宣肺，祛风通窍。
疏风解毒，杀虫止痒。
补肝益肾，疏风清热。
升阳祛湿，化痰调经。
补气养血，祛风散寒。
养血祛风。
开关催吐。
疏风清热，消肿利咽。
清热祛风。
祛风清热，消肿止痛。
镇心安神，清热化痰。
补肾养肝，凉血祛风。
清胃疏风。
祛风清热，止痛固齿。
祛风清热，活血消肿。
清热泄肝，安神定惊。
养血补肝，祛风明目。
祛风化痰，散寒止痛。
清热解毒，祛风消肿。
祛风散寒。
疏风清热。
补气养血，祛风解痉。
养血祛风。
祛风散寒，解肌舒筋。
泻火解毒，祛风止痒。
祛风清热，活血止痛。
祛风散火，凉血止痛。
祛风清热，养阴止痉。
祛风清热，补肝明目。
祛风止痛。
祛风清热。
杀虫止痒。
清热解毒，散邪辟秽。
疏风清热，利咽宽膈。
养血活血，祛风利湿。
养血祛风。
祛风清热，宣肺开郁。
清热解毒，祛风活血。
祛风胜湿。
温肾散寒，祛湿止痛。
疏风散热，养阴生津。
祛风止痛。
祛风除湿，行气止痛。
清热燥湿，祛风止痒。
清热散风，解毒消肿。
解肌散寒。
清肝泻火。
清肝利胆，疏风散热。
祛风止痛。
祛风止疼。
祛风解肌，调和营卫。
祛风泻火。
祛风通络。
祛风定痛。
益气疏风。
养血祛风
祛风除湿，清热和血。
祛风散寒，活血通络。
益气和血，通心开窍。
祛风除湿，通络止痛。
益气扶正，解表祛湿。
疏风清热，退翳明目。
祛风胜湿，温经通络。
益气养血，疏风退热。
清热渗湿，解毒止痛。
疏风泻火，祛湿止痒。
祛风散寒
疏风清热，化痰利咽。
舒筋通络
祛风止痛。
祛风散火止痛。
祛风止痛。
疏风散寒，清利头目。
润肠通便。
祛风止痒。
补肝益肾，祛风明目。
温阳祛风，止咳定喘。
补肝肾，祛风湿。
燥湿清热，解表和中。
清散胃热。
祛风通络，活血止痛。
益气补血，祛风开窍。
活血化瘀，止痛消肿。
滋阴养肝，祛风止痛。
疏风清热，凉血止痛。
固卫御风。
益气固表。
疏风清热。
疏风散寒
祛风消痰，清热化斑。
祛风通络，温经活血。
益气扶正，疏风清热。
消肿止痛，化痰开音。
祛风散寒，活血通络。
祛风除湿，温阳利水。
祛风清热。
祛风除湿，和营止痛。
祛风清热，养血通络。
疏风清热，益气养血。
祛风止痉。
益气助阳，祛风除湿。
疏风清热，养血补虚。
祛风散寒，健脾化湿。
祛风散寒，化痰消饮。
养血祛风，除湿蠲痹，舒筋活血。
祛风泻火，润肠通便。
辛温发汗。
祛风活血，通络止痛。
凉血消风。
养血补肝，疏风散热。
祛风化痰。
补气助阳，和血散热。
散寒祛湿，消肿止痛。
清热解毒，养阴利咽。
补肾助阳，固精止遗。
清热燥湿，活血祛风。
祛风化痰。
祛风散寒，解表发汗。
祛风补肝，退翳明目。
温阳祛风，缓急舒筋。
益气养阴，消翳明目。
益气养阴，清肝消翳。
散风清热。
清热燥湿，祛风攻毒。
疏风清热，养肝明目。
祛风清热，退翳明目。
活血祛瘀，接骨止痛。
清肺泻肝，祛风消翳。
清热燥湿，祛风止痒。
疏风散热
益气祛风，托毒排脓。
祛风清热。
益气养血，固表止汗。
祛风止痛。
益气养血，祛风定眩。
发汗解表，清热化湿。
助阳祛风，化痰理气，通络止痛。
疏风活血，泻火通便。
疏风散热，健脾和中。
祛风散邪，养血通络。
祛风化痰。
祛风化痰。
祛风化痰。
熄风清热，消痰止痉。
疏风清热，化痰理气。
祛风化痰，宣通心窍。
补肝肾，祛风湿。
祛风散火，清热止痛。
养血祛风。
益气养血，排脓生肉。
补气养血，化痰解毒。
理气通窍，消肿止痛。
养血祛风。
祛风散寒，升阳除湿。
辛温解表，发汗散寒。
活血祛风，养心安神。
祛风除湿，通经活络。
祛风清肝。
清热化痰，开窍通络。
养血健脾，利湿消肿。
宣肺降气，化痰定喘。
益气补肾，养肝明目。
散风泻火，益气消翳。
祛风清热，养血明目。
养血温经，祛风舒络。
补益肝肾，祛风除湿。
祛风除湿，清热解毒。
祛风散寒，清热解毒。
益气养阴，清热凉血。
清热化湿，祛风活血。
温阳散寒，行气化痰。
祛风除湿。
益血补肝，疏风清热。
补气养血，祛风通窍。
祛风除湿。
活血化瘀，行气健脾。
和血祛风。
泻火解毒，消肿止痛。
祛风活血，清热解毒。
平肝熄风，化痰定惊。
祛风解痉，温经活络。
滋阴润燥，祛风杀虫。
养肝祛风，清热利湿。
祛风清热，平肝化痰。
益气补血，养心益智。
祛风散寒，活血通络。
益气升阳，疏风祛湿。
祛风泻火，退翳明目。
补益气血，镇惊安神。
养肝明目，祛风清热。
祛风通络，养血活血。
熄风开窍，益气健脾。
滋阴补肾，活血祛风。
祛风散寒，宣痹止痛。
祛风化痰。
养血祛风，清热止痉。
祛风清热，泻肝明目。
祛风解毒，退翳明目。
平肝熄风，益气健脾。
燥湿祛风，温阳通脉。
健脾补肾，祛风清热。
祛风散毒
升阳燥湿，散寒止带。
祛风消肿，化痰利咽。
养血清热，宣肺祛风。
养血活血，祛风除湿。
疏风凉血，祛湿止痒。
祛风泻火，燥湿止痒。
疏风散热，宣肺利咽。
养阴清心，安神镇惊。
祛风散寒，化湿和中。
祛风，清热，止痛。
散寒解表，养血安胎。
祛风活血，通络止痛。
祛风解表，凉血止痉。
健脾，祛风，燥湿。
温阳散寒，祛风止痉。
滋肾清肝，祛风明目。
祛风散寒，化湿行气。
养肝明目，祛风散邪。
祛风解毒。
散寒和气。
养血活血，祛风定搐。
清热解毒。
祛风解毒。
泻肝凉血，祛风明目。
泻肺清肝，祛风明目。
祛风止痛。
祛风清热。
祛风化痰，清热止痛。
补气养血，祛风除湿。
祛风除湿，活血通络。
补虚托里。
祛风和血，清热燥湿。
补气养血，镇心安神。
活血化瘀，舒经通络。
养血补肝，祛翳明目。
祛风除湿。
开窍化痰，熄风止痉。
疏风清热，解毒利咽。
祛风通窍，活血止痛。
益气养血，托毒排脓。
祛风散寒，宣肺通窍。
祛风散寒，益气扶正。
祛风止痛，清利头目。
疏风清热，益气扶正。
祛风化痰，开窍定惊。
疏风散热。
祛风活血，通络止痛。
清热解毒，消肿止痛。
滋阴降火。
祛风除湿，行瘀止痛。
熄风化痰，镇心安神。
清热燥湿，祛风消肿，润肠通便。
止痛排脓，养血生肌。
清热消肿，和解表里。
益气活血，消肿透脓。
祛风化痰，平肝定搐。
益气养血，祛风通络，排脓止痛，生肌长肉。
清热熄风，化痰开窍。
升阳散火，益气敛阴。
祛风除湿，清热解毒。
滋阴降火，退热除蒸，祛痰止咳。
疏风顺气，活血通络。
疏风清热，开窍醒神。
祛风清热，除湿止痒。
祛风清热，活血通便。
祛风散寒，除湿通络。
祛风化痰，舒筋活络。
祛风清肝，退翳明目。
祛风清热，消肿止痛。
补血温经，疏风散寒。
疏风清肝，明目祛翳
化痰祛湿，搜风明目。
行气活血，通络止痛。
除风胜湿，活血消肿。
疏风清热，养肝明目。
祛风化痰，活血通络。
祛风通络，活血止痛。
养血明目，祛风止痛。
益气助阳，发汗解表。
温经散寒，托里和营。
健脾益气，祛风利湿。
养血益气，祛风活络。
养血祛风
益气养血，疏风散热
养血祛风。
养肝健脾，祛风除湿。
温阳益气，疏风解热
助阳祛风，生津宣痹。
补气养血，化痰祛风。
舒筋活血，通络止痛。
祛风除湿，养血和营。
益气升阳，滋阴降火。
祛风化痰，解惊
祛风清热，软坚散结。
祛风散寒，和营除湿。
暖肝补虚，祛风明目。
祛风镇惊。
祛风散寒，胜湿利水。
平肝熄风，健脾止泻。
养心安神，活血祛风。
补气养血，疏风开窍。
补肝益肾，祛风止痛。
祛风泻火，活血解毒。
养血祛风，除湿蠲痹。
抑火清肝，明目退翳。
清热泻火，疏风通络。
温脾散寒，化湿和中。
祛风除湿，活血止痒。
清热利湿，祛风解毒。
养血散风，祛湿止痒。
祛风散寒，利湿通窍。
祛风清肺，健脾利湿。
疏风清肺。
祛风行血，通络止痛。
散风清热利湿。
散风止痛。
疏散风热
疏风散寒，清热透疹。
养肝祛风，清热明目。
滋阴润肺，化痰止咳。
祛风行气，润肠通便。
泻火利湿，通利三焦。
疏风清热，益气养阴。
疏风泻火，活血通络。
清热解毒，消肿散结。
养肝祛风，消翳明目。
补虚宁心
祛风杀虫。
疏风散热，退翳明目。
疏风清热
开关润候
祛风散寒，活血和营。
清热解毒，消肿排脓。
助阳补气，散寒祛湿，消肿止痛。
祛风除湿，升阳调经。
祛风除湿，清热解毒。
祛风拔毒，生肌长肉。
搜风清热，败毒止痒。
搜风祛邪，凉血清热。
祛风和血，舒筋通络
清胃泻火，滋阴生津。
疏风清热，解毒利咽。
泻肝利湿，清热解毒。
泻火解毒，活血消肿。
滋阴凉血，疏风祛湿。
补肝肾，益气血，祛风湿，通经络。
祛风活血。
温补心气，解郁化痰
益气养血，安神定志。
益气升阳。
疏风舒筋，活血通络。
养阴清热，凉血解毒。
补中益气，疏风祛湿。
祛风除湿，活血通脉。
升阳疏风，清热消肿。
托里散结，消肿止痛。
益气养血，祛风通络。
温经散寒，祛风止痛。
清肝泻火。
祛风散寒，舒筋活络。
祛风清热，凉血明目。
祛风清热，燥湿止痒。
祛风除湿，活血通络。
祛风清热，活血宣痹。
透疹解表，清热解毒。
消食化瘀，宣肺理气。
疏风清热，化痰利喉。
疏风解表，扶正祛邪。
益气固卫，祛风通气。
疏风清热，化痰安神。
清热解毒，疏表托里。
清热解毒，化痰散结。
疏风泻火，祛翳明目。
疏风退翳。
温经助阳，散寒止痛。
益气养阴，凉血止血。
祛风活血，清热解毒。
清肝祛风。
活血止痛，补虚壮筋。
祛风止痒，清热燥湿。
泻肝利湿。
泻肝凉血
泻肝镇惊
疏风泻火
温中益气，化瘀消痰
祛风养血，舒筋通络。
疏风理气，滋阴润肠。
清热解毒，祛风消肿。
补气养血，固表敛汗。
祛风清热。
温经散寒，祛风除湿，活血止痛。
清热解毒，活血消痈
扶正祛风
祛风散寒，益气扶正。
解表散寒
补肝益肾，祛风明目。
滋肾补肝，养血祛风。
祛风通络
解肌透疹
温肾补髓，开心养志。
祛风解痉，行经和血。
补气活血，托里消肿
补托消脓
清心散热，化痰开窍。
化痰开窍，熄风定痫
清热解毒，疏风散邪。
益气养血，升阳举陷
疏肝清热，消肿散结。
清胃散火，消肿止痛。
祛风燥湿，活血止痛。
平肝健脾
生津液，化痰涎。
滋阴清热，镇心安神。
养血泻火
益气健脾，宣肺化饮。
益气补血，疏风散寒
宣肺清热，化痰止咳。
益气升阳，清热祛湿。
养阴清肺。
祛风化痰
祛风活血，清热化湿。
补气养血，温中托里。
益气补血，?削中溃脓。
养阴濡筋，祛风通络。
养血润燥，益气祛风。
凉血祛风，泻火解毒。
补血养肝，疏风明目。
滋肾补肝，清热祛风。
祛风泻火，退翳明目。
发表解毒。
透疹解毒，泻肺平喘。
辛凉透发。
养心益气，平肝舒筋。
清热熄风，化痰定志。
补精血，祛风湿，强筋骨。
健脾理气，祛风化湿。
解毒祛风。
祛风除湿，温经通络。
清热解毒，祛风利咽。
活血清肝，祛翳明目。
解表散寒，健脾和中。
疏风清热，清肝明目。
祛风清热，养血明目。
凉肝熄风，清心通窍。
祛风扶正，化痰通窍。
祛风除湿，活血通痹。
祛风解表，散寒止痛。
补中益气，祛风利湿。
祛风胜湿，解毒消瘰。
补肾养肝，疏风清热。
清热疏风，退翳明目。
祛风解表，解毒消肿。
祛风清肝，滋肾明目。
清热解毒，散结消肿。
补肾养肝，祛风明目。
清心泻火，凉血消肿。
补气养血，疏风清热。
疏风清热，养肝明目。
补气养血，祛风除湿。
祛风散寒，化湿清热。
祛风清热，行血止痛。
祛风通络，养心安神。
祛风除湿，活血通络。
祛风理气，活血通络。
祛风退翳，明目清肝。
疏肝理气，清热化湿。
补血益气，祛风除湿。
祛风湿，散郁热，补胃气。
清热化痰，软坚散结。
温补肝肾，散寒祛风。
清热开窍，熄风化痰。
升阳除湿。
祛风胜湿，清热解毒。
祛风燥湿，活血通络。
温阳散寒，祛风通络。
清心解毒
补肾聪耳
祛风除湿，活血通络。
祛风除湿、活血止痛。
熄风通络，化痰开窍。
活血散风，清热止痛。
疏风散寒，清热化湿。
温补冲任。
祛风解痉，宁心安神。
疏风清热，退翳明目。
疏风清热
养血补肝，疏风清热。
疏风清热
清热疏风，活血解毒。
疏风清热，和血止痛
疏风散热，明目退翳。
温脾养胃，熄风止痉。
补肝益肾，收敛止带
活血祛瘀，清肝明目。
疏风清热，化痰散结。
祛风胜湿，活血清热。
疏风清热，养阴平肝
清热解毒，消肿利咽。
疏风清热，解毒消肿。
祛风散寒，温经止痛。
祛风除湿，清热解毒。
疏风清热
祛风散寒，固齿止痛
补肝明目
益气托毒，疏风祛湿。
补肝养胆，清热明目。
温阳祛风，散寒通络。
温阳补肾，祛风除湿，化瘀通络。
祛风清热，养血明目。
泻肝凉血，祛翳明目。
益气养血，疏风利湿。
清肝明目
祛风除湿，散寒止痛。
祛风止痛
祛风除湿，活血通络。
补肝肾，壮筋骨，祛风湿。
消肿散结，泻火解毒。
熄风定惊，清热化痰。
温补肝肾，祛风除湿。
 清热解毒，活血消肿。
益气升阳，清热祛湿。
升阳除湿，养血解毒。
 豁痰宣窍，熄风解痉。
 解肌发汗，祛风除湿。
令面色如玉。
 温经散寒，祛风化痰。
祛风清热。
温胃化痰，行气和中。
养血祛风。
益气养阴，散寒清热。
疏风化痰，散寒止痛。
疏风清热。
清肝泻火，祛风明目。
祛风清热，活血消翳。
疏风清热，养血活血。
补气温阳，祛风镇惊
暖宫散寒，补肾固胎。
暖宫散寒，除湿消痰。
去风退翳。
 补气活血，托里护心。
清热解毒，消肿止痛。
祛风化湿，清热解毒，凉血止血。
祛风清热，养肝明目。
健脾和胃，疏风清热。
祛风除湿，温经止痛。
温阳益气，祛风和血，清热通络。
温阳散寒，祛风通络
温阳散寒，行气和血。
滋阴清热，宁嗽止血。
祛风湿，益肝肾，补气血。
化痰行气，软坚散结。
祛风解毒，利湿消肿。
补气养血，祛风胜湿。
清热化湿，活血解毒。
补肾助阳，活血祛风。
疏风清热，利水通淋。
清热解毒，祛风燥湿。
益气补血，化瘀祛湿。
祛风散寒，通络止痛。
祛风化痰，开窍镇痉。
益气养血，清热解毒，祛风通窍。
疏风泻火，止疼消肿。
养心化痰，散风清热，安神开窍。
益气升阳，养血解毒。
辟秽散寒，通窍解毒。
疏风清肝，退翳明目。
养阴清肺，疏风化痰，解毒排脓。
祛风清热，燥湿止痒
祛风胜湿，宣痹止痛。
补肝肾，祛风湿，通经络。
疏风泻火，凉血解毒
祛风清肠，凉血止血。
清肝明目
疏风泻火，利湿解毒。
行气活血，祛风消肿。
清热祛湿，疏风和血。
滋阴泻火，疏风散热。
祛风化痰，开窍定惊。
清心安神，平肝熄风。
祛寒化湿，活血止痛。
祛风除湿，温经通络。
祛风胜湿，清热扶正。
祛风散寒，活血通络。
疏风泻火，凉血退翳。
熄风止痉，化痰开窍。
补肾滋阴，疏风泻火。
散风解毒，活血消肿。
益气养血，暖宫固胎。
祛风清热
散寒祛风，胜湿通痹。
祛风活血，消肿止痛。
清热解毒，消肿散结。
疏肝解郁，益气养血。
祛风热，补肝肾。
养血祛风，化痰通络。
益气养血，滋阴助阳，疏风清热。
益肝肾，补气血，祛风湿。
清肠化湿，养血健脾
疏风宣肺，逐水消肿。
祛风养血
熄风止痉。
祛风清热，养血舒筋。
疏风止痛
祛风散寒，化湿通络。
祛风胜湿，散寒止痛。
疏风清热，滋阴润燥
疏风清热，托里透脓。
托里排脓，定痛生肌。
疏风化毒，清热生津。
发表攻里
疏肝泻火，行气化瘀。
祛风除湿，凉血解毒。
祛风化湿
疏风清肺．泻火利咽。
祛风化痰，活血通络。
清肝化湿，祛风消翳。
化痰祛湿，理气和血。
清热化痰，平肝息风，扶正祛邪。
补血升阳
祛风除湿，活血通络。
疏风清热，养血止血。
清热除烦，益气安胎。
疏风散邪，清热解毒。
补肾养肝，祛风消翳。
补肾养肝，疏风清热。
祛风散寒，通络止痛
祛风清热
清热解毒，活血祛风。
清热解毒，祛风止痒。
益气补虚，宣肺止咳
疏风散热，泻肺明目
疏风祛湿，消斑润肤。
补阴敛阳，益气固表。
祛风除湿，温经通络。
清热凉血，祛风明目。
清热消肿，扶正托毒。
清火化痰
清热疏风，退翳明目。
祛风化痰，养心安神。
补肝益肾，祛风除湿。
活血祛风，润肤生发。
祛风散寒，清热除湿。
清热败毒
疏风清热，泻火凉血。
清热解毒，养血祛风。
清热生津，养血润燥。
祛风止痉
化瘀生新，散寒止痛。
温中补虚，缓急止痛。
祛风清热，益气活血
疏风清热，泻火通便。
益气养心，镇惊安神。
祛风杀虫，清热燥湿。
补气清热，养血止血。
补肾气，祛风湿，强腰膝。
清热解毒
祛风散热，和血消翳。
补血养肝，祛风清热。
祛风散寒，活血通络。
祛风除湿，活血通络。
祛风散寒，活血通络
祛风清热，活血退翳。
清热散风，退翳明目。
祛风长发，令发光黑滋润。
 祛风化瘀。
镇惊安神，熄风豁痰。
温肾益气，升阳摄血。
 行气和血，化痰散结。
祛瘀，消肿，止痛。
健脾和胃，燥湿化痰，降逆止呕。
升阳泻火，养血润燥。
补肾壮阳，固精止遗。
祛风化湿，清热解毒。
疏风清热，泻火明目。
益气养血，祛湿解毒。
散风清热，拨云退翳。
清肝祛风，活血明目。
清热利湿，活血解毒。
温肾散寒，强筋壮骨，祛风止痛。
补肝肾，祛风湿
助阳益气，祛风除湿，活血通络。
祛风止痉
补中益气，清热化湿。
温经通络，祛风胜湿。
温阳益气，熄风通络。
清热养肝，祛风明目。
祛风火郁滞，散痰气壅结。
祛风活血，壮筋止痛。
祛风攻毒，清热燥湿
补虚益精
祛风清热，养肝明目
疏风通络，活血止痛。
祛风散寒，化痰通络。
祛风散寒，化痰通络
滋肾养肝，祛翳明目。
解表和中，化湿导滞
清热化痰，开窍熄风
清热祛风，退翳明目。
疏风祛暑，化湿和中。
疏风清热，消肿止痛。
祛风除湿，活血解毒。
活血，泻火解毒。
益气补血，退热除蒸。
祛风除湿，解毒杀虫。
祛风解毒，利湿消肿。
解热镇惊，祛风化痰。
疏风清热，益气养血。
祛风湿，益肝肾
补肝明目。
温阳祛寒，补肾强身。
散寒通阳，活血化瘀。
祛风散寒，益气养血。
清热解毒，活血消肿。
行气化瘀，消痰散结。
祛风除湿，活血解毒。
祛风除湿，润肤止痒。
祛风消斑，白面嫩肌。
补肾壮阳，祛风除湿。
滋肾养心，益气补血。
祛风清热，理气活血。
芳香辟秽，祛风燥湿。
温肾强腰，散寒逐湿。
补肾温阳，祛风散寒。
滋肾养肝，祛风清热。
养血祛风，清火化痰。
清热镇惊，熄风化痰。
养血安神，化痰熄风。
疏风散热，解毒消肿。
补肝肾，益气血，祛风湿。
祛风活络，消肿止痛。
疏风化痰，清热镇惊，止嗽透疹。
益气养血，泻火散结。
祛风清热
益肾聪耳。
祛风湿，通经络，壮筋骨。
疏风活血
清热化痰，开窍熄风。
补心肾，益气，止咳嗽，化瘀血。
搜风胜湿，通络止痛。
清热散风，明目退翳。
补肾养肝，祛风除湿，活血行瘀。
补肾滋阴，壮阳固精。
辟暑止渴，开胃进食。
解表化湿，消滞和中
补肾助阳，益精养血。
温经和阳，驱风散寒，调气活血，化痰通络。
祛风化湿，益气养血。
补阳气，强筋骨，祛风湿，通经络。
祛风化湿，解毒杀虫。
平肝清热，滋肾明目。
祛风解毒，燥湿通络。
益肾清心，祛风明目。
祛风活血，燥湿杀虫。
疏风清热，养血活血。
疏风解表，理气和中，消食导滞。
补肝肾，祛风热，明眼目。
解表散寒，健脾化湿。
温阳行气，通经活络，化瘀止痛。
清肝熄风，活血通络。
祛风除湿，行气和血。
祛风蠲痹，散寒通脉。
益气活血，祛风解毒。
益气养阴，祛风清热。
行气活血，舒筋止痛。
清热解毒，活血消肿。
养血祛风，燥湿止痒。
益气养血，清热化湿，祛风杀虫。
驱风攻毒，除湿止痒
舒筋活血，散瘀止痛，祛瘀生新。
清热排脓，行气活血。
追风散寒，舒筋活血。
解表和中，化湿解毒。
温经散寒，活血消肿。
祛风通络，行气活血。
祛风清热，泻火明目。
补气养血，祛风化痰，活血通络
祛腐生肌，解毒消痈。
祛风除湿，化瘀通络，补气养血，强筋壮骨。
祛风散寒，化痰活络，镇静安神。
益气养血，祛风通络，理气消瘀，化痰开窍。
祛风散寒，行气活血，消肿止痛。
祛风胜湿，泻火解毒。
发汗解表，温中化浊。
祛风行滞，通便和中。
清热燥湿，祛风宽肠。
益气行血
祛风解痉
镇惊熄风
清肠解毒
祛风消痰
杀虫止痒
祛风止痉，解表发汗。
疏风清热，消障除翳。
祛风清热，缓急止痛。
清肝泻火，明目止痛
祛风化湿，攻毒杀虫。
祛风散寒，止痛解痉。
祛风清热
 疏风清热。
干肝熄风，温经通络。
益气温经，祛风除湿。
 疏风清热。
祛风化痰。
疏风散热，消肿解毒。
补肾养心，清热除烦。
补土抑肝。
疏风清热，收湿明目。
清热解毒，凉血祛风。
祛风散寒，透疹利咽。
 疏肝理气，活血止痛。
闭合囟门。
清宣肺热
祛风止痛
祛风止痉，清热化痰。
疏风散寒，调和营卫
疏散风热，敛疮止痛。
疏风泻火
补气固表，收涩止汗
疏风明目
健脾除湿，温经止痛。
凉血解毒，消斑透疹
疏风散热，逐痰消肿。
开窍聪耳
祛风化痰，清利头目。
祛风除湿
祛风除湿，敛疮生肌。
固齿牢牙
养血润肤，祛风止痒
活血消瘀，化痰散结
益气祛风，固表止汗
祛风利湿
祛风解痉
清胃降火
理气宽肠，祛风凉血
疏风祛湿，润肤增白。
疏风宣肺
祛风化痰
祛风胜湿，解毒止痒。
祛风化痰
祛风解痉
益肾充髓，清热祛风
芳香疏气，发汗消肿。
除臭辟秽
祛风止痒
祛风化痰
祛风胜湿，散寒止痛。
祛风化湿，敛疮解毒。
祛风除湿，舒筋止痛。
祛风清热，去翳明目。
活血祛风，泻火退赤。
祛风胜湿
疏风清热，消肿止痛。
祛风平肝
益气清热，宁心安神
祛风止痛
祛风败毒
补气祛风
通窍聪耳。
清热祛风，泻火凉血。
清热泻火，祛风通窍。
消风祛湿，润肤敛疮。
益气养血，祛风化毒。
清肝泻火。
祛风清热，清肠止血。
温肾补气，通窍益聪。
清胃泻火，凉血消肿。
疏风清热，养血止血。
清热平肝，祛风活络。
祛风通络，补肾培元。
益气固表
养血补肝，去翳明目。
解肌清热
疏风清热，凉血解毒。
祛风化痰
凉血止血，疏风理气。
祛风清热，化湿退疹。
清肝疏风
益气固表
祛风活血
祛风润燥
清热利湿，祛风明目。
疏风祛湿，舒筋活络。
祛风清热，活血止痛。
搜风化痰，通络止痛。
祛风除湿，止痛消肿。
抑肝健脾，和胃止呕。
祛风除湿，润肤增白。
 疏风泻火。
平肝熄风，化痰宁心。
补气养血，祛风消翳。
祛风清热，燥湿止痒。
活血疏风，润燥通便。
养荣壮肾，祛风散寒。
祛风散寒，活血止痛。
祛湿解毒
祛风清热，活血止痛。
疏风泻火，去翳明目。
祛风止痛
实表散邪
清心降火，敛汗除蒸。
疏风祛湿
清热解毒，消肿散结。
宽筋止痛
养血活血，祛风止痛。
补心益肾，固脬缩尿。
祛风清热
祛风泻火
杀虫祛风，燥湿敛脓。
祛风除湿，散瘀止痛。
祛风清热
疏风止痛
清热导滞
益气解表，清热利咽。
清咽利膈。
祛风清热。
祛风清热，解毒明目。
益气祛风，退翳明日。
清热散风。
解肌清热，祛风除湿。
利水消肿。
活血解毒，化腐生肌。
宣肺清热，止咳平喘。
消肿敛疮。
疏风清热。
祛风除湿，杀虫止痒。
解表散寒，止咳平喘。
清热解毒，消肿生肌。
疏风清热化湿。
祛风除湿，通经活络。  
疏风散热，祛痰止咳。
疏风散寒
养肝祛风
祛风解毒
益气养血，祛风除湿。
行气散结，活血消痈。
祛风止痛，益肾固齿。
疏风止痛
祛风燥湿
补冲任，调气血
祛风清热，活血消翳。
散寒清热，止痛固齿。
补肾阳，祛风寒，壮筋骨。
疏风散寒，行气止痛。
活血疏风，退翳明目。
清肝泄热，明目退翳。
补肝肾，祛风湿
祛风解表
疏散风热，消肿止痛。
疏风清热，活血止痛。
祛风胜湿，散寒止痛。
清热解毒，活血消肿。
疏风散热，清肝泻火。
补血养肝，祛风清热。
养血祛风。
温阳散寒，消肿止痛。
祛风止痛
疏风泻火
祛风泻火
疏风清热
祛风除湿，舒经通络。
散风通便，清热明目。
疏风清热
清热解毒，疏风祛湿。
祛风清热，化痰平肝。
益气补肾，温阳聪耳。
疏风清热，化痰止咳。
清热化痰，熄风定惊。
泻火托毒
疏风清热
疏风理气，化痰止咳。
疏风散寒，活血消积。
疏风清热，宣肺利咽。
祛风解毒
疏风散热，凉血解毒。
疏风清热，解毒消肿。
祛风清热
